country,abbreviation,value
less than 1000000,ABB,59.9
less than 1000000,ABB,72.8
less than 1000000,ABB,75.5
less than 1000000,ABB,69.4
less than 1000000,ABB,52.1
less than 1000000,ABB,75.4
less than 1000000,ABB,75.2
less than 1000000,ABB,76.2
less than 1000000,ABB,75.8
less than 1000000,ABB,72.6
less than 1000000,ABB,76.4
less than 1000000,ABB,71.6
less than 1000000,ABB,76.2
less than 1000000,ABB,45.3
less than 1000000,ABB,72.8
less than 1000000,ABB,64
less than 1000000,ABB,69.8
less than 1000000,ABB,71.4
less than 1000000,ABB,81.2
less than 1000000,ABB,76.4
less than 1000000,ABB,61.4
less than 1000000,ABB,71.2
less than 1000000,ABB,70
less than 1000000,ABB,61.7
less than 1000000,ABB,71
less than 1000000,ABB,55.5
less than 1000000,ABB,56
less than 1000000,ABB,77
less than 1000000,ABB,62
less than 1000000,ABB,72
less than 1000000,ABB,73.5
less than 1000000,ABB,76.4
less than 1000000,ABB,76
less than 1000000,ABB,74.6
less than 1000000,ABB,75.4
less than 1000000,ABB,77.3
less than 1000000,ABB,75
less than 1000000,ABB,75.3
less than 1000000,ABB,74.7
less than 1000000,ABB,45.6
less than 1000000,ABB,62.5
less than 1000000,ABB,77.1
less than 1000000,ABB,76.4
less than 1000000,ABB,56.8
less than 1000000,ABB,75.5
less than 1000000,ABB,77.6
less than 1000000,ABB,62.7
less than 1000000,ABB,78.2
less than 1000000,ABB,72.4
less than 1000000,ABB,45.6
less than 1000000,ABB,78.5
less than 1000000,ABB,74.5
less than 1000000,ABB,82
less than 1000000,ABB,45.9
less than 1000000,ABB,62.3
less than 1000000,ABB,87
less than 1000000,ABB,77.7
less than 1000000,ABB,81
less than 1000000,ABB,46.3
less than 1000000,ABB,81.1
less than 1000000,ABB,59.1
less than 1000000,ABB,66.2
less than 1000000,ABB,81.4
less than 1000000,ABB,77
less than 1000000,ABB,61.4
less than 1000000,ABB,81.7
less than 1000000,ABB,66.5
less than 1000000,ABB,78
less than 1000000,ABB,58.1
less than 1000000,ABB,78
less than 1000000,ABB,78.9
less than 1000000,ABB,76.3
less than 1000000,ABB,76
less than 1000000,ABB,73
less than 1000000,ABB,71.4
less than 1000000,ABB,78.3
less than 1000000,ABB,66.8
less than 1000000,ABB,62.9
less than 1000000,ABB,53
less than 1000000,ABB,78.5
less than 1000000,ABB,78.1
less than 1000000,ABB,71
less than 1000000,ABB,77
less than 1000000,ABB,86
less than 1000000,ABB,67.1
less than 1000000,ABB,79.8
less than 1000000,ABB,62.9
less than 1000000,ABB,67.7
less than 1000000,ABB,78.8
